206-44-0 c1ccc2c(c1)c3cccc4cccc2c34
626-39-1 Brc1cc(Br)cc(Br)c1
74-97-5 ClCBr
131-11-3 COC(=O)c1ccccc1C(=O)OC
938-86-3 COc1cc(Cl)c(Cl)c(Cl)c1Cl
24157-81-1 CC(C)c1ccc2cc(ccc2c1)C(C)C
95-47-6 Cc1ccccc1C
131-09-9 Clc1ccc2C(=O)c3ccccc3C(=O)c2c1
28680-45-7 ClC1C(Cl)(Cl)C2(Cl)CC1(Cl)C(=C2Cl)Cl
108-88-3 Cc1ccccc1
123-31-9 Oc1ccc(O)cc1
119-12-0 CCOP(=S)(OCC)OC1=NN(C(=O)C=C1)c2ccccc2
19666-30-9 CC(C)Oc1cc(N2N=C(OC2=O)C(C)(C)C)c(Cl)cc1Cl
129-00-0 c1cc2ccc3cccc4ccc(c1)c2c34
25311-71-1 CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
108-80-5 O=C1NC(=O)[N-]C(=O)[N-]1
84-51-5 CCc1ccc2C(=O)c3ccccc3C(=O)c2c1
129-43-1 Oc1cccc2C(=O)c3ccccc3C(=O)c12
60-57-1 ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
1746-81-2 CON(C)C(=O)Nc1ccc(Cl)cc1
108-78-1 Nc1nc(N)nc(N)n1
56-72-4 CCOP(=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C
608-73-1 ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
32861-85-1 COc1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]
87-61-6 Clc1cccc(Cl)c1Cl
622-97-9 Cc1ccc(C=C)cc1
16219-75-3 CC=C1CC2CC1C=C2
108-70-3 Clc1cc(Cl)cc(Cl)c1
107-02-8 C=CC=O
104-88-1 Clc1ccc(C=O)cc1
102-82-9 CCCC[NH+](CCCC)CCCC
271-89-6 o1ccc2ccccc12
2531-84-2 Cc1ccc2c(ccc3ccccc23)c1
133-06-2 ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
1163-19-5 Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br
131-52-2 [O-]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
611-21-2 CNc1ccccc1C
680-31-9 CN(C)P(=O)(N(C)C)N(C)C
40487-42-1 CCC(CC)Nc1c(cc(C)c(C)c1[N+](=O)[O-])[N+](=O)[O-]
1763-23-1 [O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
87-83-2 Cc1c(Br)c(Br)c(Br)c(Br)c1Br
109-69-3 CCCCCl
99-71-8 CCC(C)c1ccc(O)cc1
106-41-2 Oc1ccc(Br)cc1
634-83-3 Nc1cc(Cl)c(Cl)c(Cl)c1Cl
493-01-6 C1CC[C@@H]2CCCC[C@@H]2C1
106-42-3 Cc1ccc(C)cc1
54135-80-7 COc1ccc(Cl)c(Cl)c1Cl
51218-45-2 CCc1cccc(C)c1N(C(C)COC)C(=O)CCl
87-84-3 ClC1C(Br)C(Br)C(Br)C(Br)C1Br
493-02-7 C1CC[C@@H]2CCCC[C@H]2C1
839-90-7 OCCN1C(=O)N(CCO)C(=O)N(CCO)C1=O
591-20-8 Oc1cccc(Br)c1
634-67-3 Nc1ccc(Cl)c(Cl)c1Cl
121-82-4 [O-][N+](=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
84-57-1 CC1=NN(C(=O)C1)c2cc(Cl)c(cc2Cl)S(=O)(=O)[O-]
101-14-4 Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl
26898-17-9 Cc1cccc(Cc2ccccc2)c1Cc3ccccc3
2051-62-9 Clc1ccc(cc1)c2ccccc2
79-92-5 CC1(C)C2CCC(C2)C1=C
107-06-2 ClCCCl
6639-30-1 Cc1cc(Cl)c(Cl)cc1Cl
87-40-1 COc1c(Cl)cc(Cl)cc1Cl
294-62-2 C1CCCCCCCCCCC1
527-60-6 Cc1cc(C)c(O)c(C)c1
77-73-6 C1C=CC2C3CC(C=C3)C12
27314-13-2 CNC1=C(Cl)C(=O)N(N=C1)c2cccc(c2)C(F)(F)F
767-00-0 Oc1ccc(cc1)C#N
135-88-6 N(c1ccccc1)c2ccc3ccccc3c2
95-69-2 Cc1cc(Cl)ccc1N
91-66-7 CCN(CC)c1ccccc1
55283-68-6 CC[NH+](CC(=C)C)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
105-05-5 CCc1ccc(CC)cc1
6936-40-9 COc1c(Cl)c(Cl)cc(Cl)c1Cl
2243-62-1 Nc1cccc2c(N)cccc12
127-90-2 ClC(COCC(Cl)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
1582-09-8 CCC[NH+](CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
149-30-4 [S-]c1nc2ccccc2s1
78-63-7 CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
35367-38-5 Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2
563-04-2 Cc1cccc(OP(=O)(Oc2cccc(C)c2)Oc3cccc(C)c3)c1
66-81-9 C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2
63-25-2 CNC(=O)Oc1cccc2ccccc12
75-09-2 ClCCl
2050-74-0 Clc1cccc2cccc(Cl)c12
335-67-1 [O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
134-62-3 CCN(CC)C(=O)c1cccc(C)c1
105-06-6 C=Cc1ccc(C=C)cc1
1194-65-6 Clc1cccc(Cl)c1C#N
56-23-5 ClC(Cl)(Cl)Cl
527-20-8 Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
72-43-5 COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl
28575-17-9 CCc1ccccc1c2ccccc2CC
504-03-0 CC1CCCC(C)[NH2+]1
12002-48-1 Clc1cccc(Cl)c1Cl
25057-89-0 CC(C)N1C(=O)c2ccccc2NS1(=O)=O
119-93-7 Cc1cc(ccc1N)c2ccc(N)c(C)c2
100-01-6 Nc1ccc(cc1)[N+](=O)[O-]
123-63-7 CC1OC(C)OC(C)O1
603-11-2 [O-]C(=O)c1cccc(c1C(=O)[O-])[N+](=O)[O-]
95-64-7 Cc1ccc(N)cc1C
309-00-2 ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
118-74-1 Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
76-93-7 OC(C(=O)[O-])(c1ccccc1)c2ccccc2
103-50-4 C(OCc1ccccc1)c2ccccc2
76-13-1 FC(F)(Cl)C(F)(Cl)Cl
85-68-7 CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2
577-55-9 CC(C)c1ccccc1C(C)C
946-30-5 [O-][N+](=O)c1ccc(Cl)c(c1)S(=O)(=O)[O-]
320-60-5 FC(F)(F)c1ccc(Cl)cc1Cl
95-94-3 Clc1cc(Cl)c(Cl)cc1Cl
88-06-2 [O-]c1c(Cl)cc(Cl)cc1Cl
100-42-5 C=Cc1ccccc1
87-68-3 ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl
100-41-4 CCc1ccccc1
118-83-2 [O-][N+](=O)c1ccc(Cl)cc1C(F)(F)F
25154-52-3 CCCCCCCCCc1ccccc1O
52645-53-1 CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2
104-43-8 CCCCCCCCCCCCc1ccc(O)cc1
57-74-9 ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
618-62-2 [O-][N+](=O)c1cc(Cl)cc(Cl)c1
119-56-2 OC(c1ccccc1)c2ccc(Cl)cc2
504-29-0 Nc1ccccn1
41122-70-7 CCCCCCc1ccc(cc1)c2ccc(cc2)C#N
26444-49-5 Cc1cccc(O)c1OP(=O)(Oc2ccccc2)Oc3ccccc3
100-26-5 [O-]C(=O)c1ccc(nc1)C(=O)[O-]
760-23-6 ClCC(Cl)C=C
96-96-8 COc1ccc(N)c(c1)[N+](=O)[O-]
25637-99-4 BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br
79-01-6 ClC=C(Cl)Cl
629-25-4 CCCCCCCCCCCC(=O)[O-]
50-32-8 c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
13674-87-8 ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl
608-93-5 Clc1cc(Cl)c(Cl)c(Cl)c1Cl
1502-22-3 O=C1CCCCC1C2=CCCCC2
51-44-5 [O-]C(=O)c1ccc(Cl)c(Cl)c1
1241-94-7 CCCCC(CC)COP(=O)(Oc1ccccc1)Oc2ccccc2
100-02-7 [O-]c1ccc(cc1)[N+](=O)[O-]
108-57-6 C=Cc1cccc(C=C)c1
636-30-6 Nc1cc(Cl)c(Cl)cc1Cl
86-30-6 O=NN(c1ccccc1)c2ccccc2
36065-30-2 CC(Br)(CBr)COc1c(Br)cc(Br)cc1Br
591-35-5 Oc1cc(Cl)cc(Cl)c1
1779-48-2 OP(=O)c1ccccc1
2581-34-2 Cc1cc([O-])ccc1[N+](=O)[O-]
2212-67-1 CCSC(=O)N1CCCCCC1
96-45-7 S=C1NCCN1
2050-75-1 Clc1cc2ccccc2cc1Cl
127-20-8 CC(Cl)(Cl)C(=O)[O-]
2104-64-5 CCOP(=S)(Oc1ccc(cc1)[N+](=O)[O-])c2ccccc2
87-82-1 Brc1c(Br)c(Br)c(Br)c(Br)c1Br
79-94-7 CC(C)(c1cc(Br)c(O)c(Br)c1)c2cc(Br)c([O-])c(Br)c2
42874-03-3 CCOc1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+](=O)[O-]
55512-33-9 CCCCCCCCSC(=O)Oc1cc(Cl)nnc1c2ccccc2
1570-64-5 Cc1cc(Cl)ccc1O
72178-02-0 CS(=O)(=O)[N-]C(=O)c1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+](=O)[O-]
542-18-7 ClC1CCCCC1
100-00-5 [O-][N+](=O)c1ccc(Cl)cc1
23135-22-0 CNC(=O)O\N=C(/SC)\C(=O)N(C)C
4333-56-6 BrC1CC1
3481-20-7 Nc1c(Cl)c(Cl)cc(Cl)c1Cl
17348-59-3 CC(C)OC(C)(C)C
534-52-1 Cc1cc(cc(c1[O-])[N+](=O)[O-])[N+](=O)[O-]
101-81-5 C(c1ccccc1)c2ccccc2
50-31-7 [O-]C(=O)c1c(Cl)ccc(Cl)c1Cl
782-74-1 Clc1ccccc1NNc2ccccc2Cl
1918-16-7 CC(C)N(C(=O)CCl)c1ccccc1
78-42-2 CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
79-27-6 BrC(Br)C(Br)Br
72-20-8 ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
5902-51-2 CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C
111-76-2 CCCCOCCO
88-44-8 Cc1ccc(N)c(c1)S(=O)(=O)[O-]
100-40-3 C=CC1CCC=CC1
75-25-2 BrC(Br)Br
21609-90-5 COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c2ccccc2
85-22-3 CC(Br)c1cc(C(C)Br)c(C(C)Br)c(C(C)Br)c1C(C)Br
25638-17-9 CCCCc1ccc2ccccc2c1S(=O)(=O)[O-]
89-59-8 Cc1ccc(Cl)cc1[N+](=O)[O-]
842-18-2 Oc1ccc2cc(cc(c2c1)S(=O)(=O)[O-])S(=O)(=O)[O-]
78-40-0 CCOP(=O)(OCC)OCC
97-23-4 Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O
98-95-3 [O-][N+](=O)c1ccccc1
10541-83-0 CNc1ccc(cc1)C(=O)[O-]
98-54-4 CC(C)(C)c1ccc(O)cc1
319-86-8 Cl[C@@H]1[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
79-00-5 ClCC(Cl)Cl
2310-17-0 CCOP(=S)(OCC)SCN1C(=O)Oc2cc(Cl)ccc12
98-73-7 CC(C)(C)c1ccc(cc1)C(=O)[O-]
120-71-8 COc1ccc(C)cc1N
315-18-4 CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1
57-15-8 CC(C)(O)C(Cl)(Cl)Cl
68-12-2 CN(C)C=O
83-79-4 COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(=C)C
2861-02-1 Nc1cc(c([O-])c2C(=O)c3c(N)cc(c([O-])c3C(=O)c12)S(=O)(=O)[O-])S(=O)(=O)[O-]
3766-81-2 CCC(C)c1ccccc1OC(=O)NC
60168-88-9 OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl
636-28-2 Brc1cc(Br)c(Br)cc1Br
2050-68-2 Clc1ccc(cc1)c2ccc(Cl)cc2
6731-36-8 CC1CC(C)(C)CC(C1)(OOC(C)(C)C)OOC(C)(C)C
60-29-7 CCOCC
83-32-9 C1Cc2cccc3cccc1c23
107-13-1 C=CC#N
100-61-8 CNc1ccccc1
583-39-1 Sc1nc2ccccc2[nH]1
1634-04-4 COC(C)(C)C
330-54-1 CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
1897-45-6 Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl
108-95-2 Oc1ccccc1
50-30-6 [O-]C(=O)c1c(Cl)cccc1Cl
142-96-1 CCCCOCCCC
98-15-7 FC(F)(F)c1cccc(Cl)c1
764-13-6 CC(=CC=C(C)C)C
121-92-6 [O-]C(=O)c1cccc(c1)[N+](=O)[O-]
115-28-6 [O-]C(=O)C1C(C(=O)[O-])C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl
260-94-6 c1ccc2nc3ccccc3cc2c1
88-74-4 Nc1ccccc1[N+](=O)[O-]
72490-01-8 CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1
96-29-7 CC\C(=N\O)\C
1330-78-5 Cc1ccccc1OP(=O)(Oc2ccccc2C)Oc3ccccc3C
21564-17-0 N#CSCSc1nc2ccccc2s1
110-00-9 o1cccc1
947-04-6 O=C1CCCCCCCCCCCN1
84-66-2 CCOC(=O)c1ccccc1C(=O)OCC
2814-20-2 CC(C)c1nc(C)cc(O)n1
2498-66-0 O=C1c2ccccc2C(=O)c3c1ccc4ccccc34
3229-00-3 BrCC(CBr)(CBr)CBr
10319-14-9 [O-]c1c(Br)c2ccccc2nc1C3C(=O)c4ccccc4C3=O
577-11-7 CCCCC(CC)COC(=O)C[C-](C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]
