105-67-9 Cc1ccc(O)c(C)c1
149-91-7 Oc1cc(cc(O)c1[O-])C(=O)[O-]
2867-47-2 C[NH+](C)CCOC(=O)C(=C)C
7098-22-8 CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
598-78-7 CC(Cl)C(=O)[O-]
98-09-9 ClS(=O)(=O)c1ccccc1
78-84-2 CC(C)C=O
2426-08-6 CCCCOCC1CO1
103-84-4 CC(=O)Nc1ccccc1
625-50-3 CCNC(=O)C
3886-69-9 C[C@@H]([NH3+])c1ccccc1
103-11-7 CCCCC(CC)COC(=O)C=C
839-90-7 OCCN1C(=O)N(CCO)C(=O)N(CCO)C1=O
700-13-0 Cc1cc(O)c(C)c(C)c1O
3121-61-7 COCCOC(=O)C=C
106-49-0 Cc1ccc(N)cc1
108-80-5 O=C1NC(=O)[N-]C(=O)[N-]1
99-04-7 Cc1cccc(c1)C(=O)[O-]
84-51-5 CCc1ccc2C(=O)c3ccccc3C(=O)c2c1
129-43-1 Oc1cccc2C(=O)c3ccccc3C(=O)c12
103-83-3 C[NH+](C)Cc1ccccc1
617-45-8 [NH3+]C(CC(=O)[O-])C(=O)[O-]
1116-54-7 OCCN(CCO)N=O
75-07-0 CC=O
133-14-2 Clc1ccc(C(=O)OOC(=O)c2ccc(Cl)cc2Cl)c(Cl)c1
608-73-1 ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
106-46-7 Clc1ccc(Cl)cc1
627-30-5 OCCCCl
4162-45-2 CC(C)(c1cc(Br)c(OCCO)c(Br)c1)c2cc(Br)c(OCCO)c(Br)c2
87-61-6 Clc1cccc(Cl)c1Cl
2921-88-2 CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
16219-75-3 CC=C1CC2CC1C=C2
93-55-0 CCC(=O)c1ccccc1
95-65-8 Cc1ccc(O)cc1C
140-31-8 [NH3+]CCN1CC[NH2+]CC1
107-02-8 C=CC=O
98-95-3 [O-][N+](=O)c1ccccc1
110-15-6 [O-]C(=O)CCC(=O)[O-]
100-97-0 C1N2CN3CN(CN1C3)C2
61-33-6 CC1(C)S[C@@H]2C(NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
118-82-1 CC(C)(C)c1cc(Cc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C
110-16-7 [O-]C(=O)\C=C/C(=O)[O-]
402-31-3 FC(F)(F)c1cccc(c1)C(F)(F)F
29772-02-9 Clc1ccc(OCOCC#CI)cc1
71-23-8 CCCO
367-11-3 Fc1ccccc1F
79-57-2 C[NH+](C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=C(C(=O)N)C1=O)[O-])C(=O)c4c(O)cccc4[C@@]3(C)O
1459-93-4 COC(=O)c1cccc(c1)C(=O)OC
680-31-9 CN(C)P(=O)(N(C)C)N(C)C
693-98-1 Cc1[nH+]cc[nH]1
630-06-8 CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
83-88-5 Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
106-42-3 Cc1ccc(C)cc1
