434-90-2 Fc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F
142-96-1 CCCCOCCCC
79-24-3 C[CH-][N+](=O)[O-]
107-87-9 CCCC(=O)C
103-30-0 C(=C\c1ccccc1)/c2ccccc2
120-12-7 c1ccc2cc3ccccc3cc2c1
108-90-7 Clc1ccccc1
108-93-0 OC1CCCCC1
2050-47-7 Brc1ccc(Oc2ccc(Br)cc2)cc1
33979-03-2 Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl
62-44-2 CCOc1ccc(NC(=O)C)cc1
2043-47-2 OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
123-72-8 CCCC=O
628-55-7 CC(C)COCC(C)C
53-70-3 c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23
107-12-0 CCC#N
141-78-6 CCOC(=O)C
95-50-1 Clc1ccccc1Cl
123-92-2 CC(C)CCOC(=O)C
60-57-1 ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
123-51-3 CC(C)CCO
109-74-0 CCCC#N
67-72-1 ClC(Cl)(Cl)C(Cl)(Cl)Cl
56-55-3 c1ccc2cc3c(ccc4ccccc34)cc2c1
106-46-7 Clc1ccc(Cl)cc1
106-37-6 Brc1ccc(Br)cc1
87-61-6 Clc1cccc(Cl)c1Cl
74-95-3 BrCBr
108-70-3 Clc1cc(Cl)cc(Cl)c1
69-72-7 Oc1ccccc1C(=O)[O-]
79-20-9 COC(=O)C
123-91-1 C1COCCO1
122-39-4 N(c1ccccc1)c2ccccc2
207-08-9 c1ccc2cc3c(cc2c1)c4cccc5cccc3c45
75-52-5 [CH2-][N+](=O)[O-]
591-78-6 CCCCC(=O)C
109-60-4 CCCOC(=O)C
206-44-0 c1ccc2c(c1)c3cccc4cccc2c34
2050-68-2 Clc1ccc(cc1)c2ccc(Cl)cc2
71-23-8 CCCO
67-63-0 CC(C)O
72-20-8 ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
109-69-3 CCCCCl
64-17-5 CCO
628-63-7 CCCCCOC(=O)C
123-86-4 CCCCOC(=O)C
108-88-3 Cc1ccccc1
5103-71-9 Cl[C@H]1C[C@H]2[C@@H]([C@H]1Cl)[C@]3(Cl)C(=C(Cl)[C@@]2(Cl)C3(Cl)Cl)Cl
67-68-5 CS(=O)C
78-82-0 CC(C)C#N
105-37-3 CCOC(=O)CC
78-83-1 CC(C)CO
319-88-0 Fc1c(Cl)c(F)c(Cl)c(F)c1Cl
2051-62-9 Clc1ccc(cc1)c2ccccc2
123-38-6 CCC=O
634-90-2 Clc1cc(Cl)c(Cl)c(Cl)c1
319-86-8 Cl[C@@H]1[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
107-06-2 ClCCCl
71-36-3 CCCCO
66-25-1 CCCCCC=O
108-21-4 CC(C)OC(=O)C
67-64-1 CC(=O)C
108-03-2 CC[CH-][N+](=O)[O-]
58-89-9 Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@H]1Cl
96-22-0 CCC(=O)CC
71-43-2 c1ccccc1
100-66-3 COc1ccccc1
71-41-0 CCCCCO
71-55-6 CC(Cl)(Cl)Cl
68-12-2 CN(C)C=O
110-59-8 CCCCC#N
678-39-7 OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
129-00-0 c1cc2ccc3cccc4ccc(c1)c2c34
