74051-80-2 CCCC(=NOCC)C1=C([O-])CC(CC(C)SCC)CC1=O
53404-31-2 CCCCOCCOC(=O)C(C)Oc1ccc(Cl)cc1Cl
131-11-3 COC(=O)c1ccccc1C(=O)OC
103-84-4 CC(=O)Nc1ccccc1
118-75-2 ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl
5598-13-0 COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl
6795-23-9 COc1cc2O[C@H]3OC=CC3(O)c2c4OC(=O)C5=C(CCC5=O)c14
55-21-0 NC(=O)c1ccccc1
90-05-1 COc1ccccc1O
133-07-3 ClC(Cl)(Cl)SN1C(=O)c2ccccc2C1=O
129-00-0 c1cc2ccc3cccc4ccc(c1)c2c34
25311-71-1 CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
25057-89-0 CC(C)N1C(=O)c2ccccc2NS1(=O)=O
656-31-5 NC(=O)Nc1ccccc1F
1468-95-7 OCc1c2ccccc2cc3ccccc13
1470-94-6 Oc1ccc2CCCc2c1
60-57-1 ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
4147-51-7 CCSc1nc(NC(C)C)nc(NC(C)C)n1
106-46-7 Clc1ccc(Cl)cc1
5259-88-1 CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
87-61-6 Clc1cccc(Cl)c1Cl
2921-88-2 CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
108-70-3 Clc1cc(Cl)cc(Cl)c1
3478-94-2 CC1CCCC[NH+]1CCCOC(=O)c2ccc(Cl)c(Cl)c2
82-68-8 [O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
56-53-1 CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2
563-58-6 CC=C(Cl)Cl
71-23-8 CCCO
1897-45-6 Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl
112-30-1 CCCCCCCCCCO
1610-17-9 CCNc1nc(NC(C)C)nc(OC)n1
