CAS NO.,MLOGP2,F02[C-Cl],nROH,P-117,Mor25m,N%,X4v,O-058,LLS_01,H4v,SM12_AEA(dm),O-057
000050-29-3,38.02,7,0,0,0.599,0,2.889,0,0.67,0.262,6.791,0
000050-30-6,8.333,4,1,0,0.103,0,1.261,1,1,0.186,4.654,1
000050-31-7,11.958,6,1,0,0.039,0,1.413,1,0.83,0.179,4.89,1
000050-32-8,30.809,0,0,0,0.626,0,3.489,0,0.83,0.328,7.759,0
000051-44-5,8.333,4,1,0,0.339,0,0.927,1,1,0.045,3.541,1
000055-38-9,6.67,0,0,0,0.452,0,2.699,0,0.83,0.31,6.417,0
000056-23-5,4.957,0,0,0,0.462,0,0,0,1,0,-3,0
000056-38-2,5.351,0,0,0,0.316,3.1,3.247,0,0.5,0.378,6.613,0
000056-72-4,10.595,2,0,0,0.628,0,4.12,1,0.33,0.487,7.891,0
000057-15-8,3.765,3,1,0,0.109,0,0,0,1,0.184,-3,0
000057-74-9,29.906,18,0,0,-0.295,0,7.46,0,0.67,0.369,10.534,0
000058-89-9,16.744,12,0,0,-0.962,0,3.381,0,0.83,0.427,7.292,0
000059-50-7,6.055,2,0,0,0.211,0,0.746,0,1,0.052,3.52,1
000060-29-7,0.64,0,0,0,0.097,0,0.204,0,1,0.03,-0.732,0
000060-57-1,21.129,14,0,0,-0.151,0,8.569,0,0.67,0.435,12.614,0
000061-82-5,0.054,0,0,0,0.294,40,0.215,0,0.67,0.01,1.372,0
000062-53-3,2.268,0,0,0,0.325,7.1,0.453,0,1,0.016,2.136,0
000062-56-6,2.056,0,0,0,0.083,25,0,0,0.67,0,-2,0
000063-25-2,4.939,0,0,0,0.474,3.8,1.436,1,1,0.145,5.238,0
000066-81-9,1.035,0,1,0,-0.41,2.3,3.604,3,0.67,0.338,6.868,0
000067-68-5,0.03,0,0,0,-0.006,0,0,0,1,0.03,-2,0
000067-72-1,10.83,6,0,0,-0.305,0,0,0,0.83,0,-3,0
000068-12-2,0.074,0,0,0,-0.056,8.3,0,1,1,0.064,-2,0
000070-30-4,23.081,12,0,0,0.605,0,3.196,0,0.67,0.309,7.063,2
000071-55-6,4.957,3,0,0,0.307,0,0,0,1,0,-3,0
000072-20-8,21.129,14,0,0,-0.153,0,8.569,0,0.67,0.435,12.614,0
000072-43-5,18.218,3,0,0,0.641,0,2.919,0,0.5,0.589,7.138,0
000072-55-9,34.268,6,0,0,-0.024,0,2.306,0,0.67,0.265,6.152,0
000074-97-5,2.55,0,0,0,-0.101,0,0,0,1,0,0,0
000075-09-2,1.86,0,0,0,-0.035,0,0,0,1,0,0,0
000075-15-0,0.041,0,0,0,-0.059,0,0,0,1,0,0,0
000075-25-2,5.85,0,0,0,1.864,0,0,0,1,0,-2,0
000075-71-8,3.301,0,0,0,-0.198,0,0,0,1,0,-3,0
000075-98-9,0.991,0,1,0,-0.041,0,0,1,1,0.079,-2,1
000076-01-7,8.746,5,0,0,-0.134,0,0,0,1,0,-2,0
000076-03-9,0.991,3,1,0,0.079,0,0,1,1,0,-2,1
000076-13-1,7.748,3,0,0,-0.451,0,0,0,1,0,-3,0
000076-44-8,26.252,16,0,0,0.064,0,6.597,0,0.67,0.299,10.071,0
000076-83-5,31.636,3,0,0,0.384,0,2.881,0,0.83,0.307,6.623,0
000076-93-7,5.808,0,2,0,0.329,0,1.772,1,1,0.222,5.384,1
000077-73-6,10.673,0,0,0,0.011,0,2.973,0,0.83,0.044,5.664,0
