CAS,nN,nHM,O%,MATS1e,GATS1p,GATS7p,GGI1,GGI2,nCq,nCrt,C-040,H-048,H-051,O-059
000540-84-1,0,0,0,-0.09,1.625,0,4,0.667,1,0,0,0,0,0
000115-07-1,0,0,0,-0.25,1.5,0,0.5,0,0,0,0,0,0,0
000106-99-0,0,0,0,-0.167,1.25,0,0.5,0.222,0,0,0,0,0,0
000107-39-1,0,0,0,-0.087,1.5,0,4,0.667,1,0,0,0,0,0
000075-09-2,0,2,0,-0.076,0.576,0,0.5,0,0,0,0,2,0,0
000067-66-3,0,3,0,-0.258,0.502,0,1.5,0,0,0,0,0,0,0
000075-25-2,0,3,0,-0.208,0.667,0,1.5,0,0,0,0,0,0,0
000075-00-3,0,1,0,0,1.035,0,0.5,0,0,0,0,0,0,0
000079-34-5,0,4,0,-0.09,0.505,0,2,0.889,0,0,0,2,0,0
000074-97-5,0,2,0,-0.06,0.505,0,0.5,0,0,0,0,2,0,0
004101-68-2,0,2,0,-0.006,0.871,0.997,0.5,0.222,0,0,0,0,0,0
000079-27-6,0,4,0,-0.069,0.57,0,2,0.889,0,0,0,2,0,0
000078-87-5,0,2,0,-0.002,0.826,0,1.5,0.444,0,0,0,0,0,0
000124-73-2,0,2,0,-0.276,0.536,0,4.5,2,0,0,0,0,0,0
000076-14-2,0,2,0,-0.355,0.736,0,4.5,2,0,0,0,0,0,0
000076-12-0,0,4,0,-0.331,0.509,0,4.5,2,0,0,0,0,0,0
000075-01-4,0,1,0,-0.003,0.784,0,0.5,0,0,0,0,1,0,0
000075-35-4,0,2,0,-0.048,0.562,0,1.5,0,0,0,0,0,0,0
000760-23-6,0,2,0,-0.002,0.784,0,1.5,0.667,0,0,0,0,0,0
000542-75-6,0,2,0,-0.009,0.685,0,0.5,0.222,0,0,0,1,0,0
001116-76-3,1,0,0,0.112,1.596,0.988,1.5,0.667,0,0,0,0,0,0
003030-47-5,3,0,0,0.177,2.022,0.668,3.5,1.111,0,0,0,0,0,0
000112-24-3,4,0,0,-0.247,1.655,0.865,0.5,0.222,0,0,0,0,0,0
000311-89-7,1,0,0,-0.116,1.676,0.911,21,14.667,0,0,0,0,0,0
000079-46-9,1,0,15.4,0.405,1.733,0,2,0.889,0,0,0,0,0,0
000076-06-2,1,3,28.6,-0.317,0.224,0,3.5,1.333,0,0,0,0,0,0
000077-99-6,0,0,13,-0.183,1.56,0,3,1.333,1,0,0,0,0,0
000335-99-9,0,0,4.2,-0.117,1.613,0.711,9.5,7.333,0,0,0,1,0,0
000105-59-9,1,0,9.5,-0.151,1.862,0.013,1.5,0.667,0,0,0,0,0,0
000111-41-1,2,0,5.3,-0.236,1.694,0.06,0.5,0.222,0,0,0,0,0,0
000115-70-8,1,0,9.5,-0.22,1.532,0,3,1.333,0,0,0,0,0,0
000115-10-6,0,0,11.1,0.007,2.492,0,0.5,0,0,0,0,0,0,1
000142-96-1,0,0,3.7,0.056,1.754,0.907,0.5,0.222,0,0,0,0,0,1
000544-01-4,0,0,3,0.058,1.704,0.943,2.5,0.667,0,0,0,0,0,1
000108-60-1,0,2,4.8,-0.009,1.137,0,2.5,0.889,0,0,0,0,0,1
003033-62-3,2,0,3.2,0.075,2.06,1.164,2.5,0.667,0,0,0,0,0,1
000110-98-5,0,0,13,-0.129,1.766,0.868,2.5,0.667,0,0,0,0,0,1
000126-58-9,0,0,17.9,-0.224,1.572,2.083,5.5,2.444,2,0,0,0,0,1
000112-26-5,0,2,9.1,-0.041,1.247,0.94,0.5,0.222,0,0,0,0,0,2
000624-92-0,0,2,0,0.334,0.615,0,0.5,0.222,0,0,0,0,0,0
000107-02-8,0,0,12.5,-0.001,1.328,0,0.5,0.222,0,0,0,0,0,0
000075-87-6,0,3,14.3,-0.169,0.517,0,3,0.667,0,0,0,0,0,0
001071-93-8,4,0,7.7,-0.084,1.304,0.779,2.5,1.111,0,0,2,0,4,0
000108-23-6,0,1,14.3,-0.05,1.285,0,2.5,0.444,0,0,0,0,0,0
000076-03-9,0,3,25,-0.651,0.376,0,3.5,1.333,0,0,1,0,0,0
000123-77-3,4,0,16.7,-0.482,1.267,0,2.5,0.667,0,0,0,0,0,0
001115-20-4,0,0,11.8,-0.088,1.604,2.239,6,2.889,2,0,1,0,0,0
000078-67-1,4,0,0,0.193,1.403,0.091,5.5,2,0,0,2,0,0,0
000556-61-6,1,1,0,-0.042,0.685,0,0.5,0.222,0,0,1,0,0,0
000112-96-9,1,0,1.7,0.018,1.528,0.965,0.5,0.222,0,0,1,0,0,0
000062-56-6,2,1,0,-0.863,0.335,0,1.5,0,0,0,0,0,0,0
000079-19-6,3,1,0,-0.566,0.337,0,1.5,0.444,0,0,0,0,0,0
026444-49-5,0,1,9.8,-0.22,1.493,1.076,5.5,1.778,0,0,0,0,0,0
