CAS #,X1sol/T,Mor13v/T,H050/T,R5v/T,TO..Cl/T,HATS5v/T,RDF035m/T,RCl/T,nCOOR/T,Mor15u/T,RDF90m/T,1/T
000071-55-6,0.009223545,0.000781486,0,0,0,0,0.000137515,0,0,0.000134161,0,0.003354016
002234-13-1,0.035535804,-0.001529431,0,0.000747946,0,0.003739728,3.02E-05,0.004796244,0,5.70E-05,0,0.003354016
058863-14-2,0.033134328,-0.001472413,0,0.000419252,0,0.00126111,0.000429314,0.004796244,0,-0.000114037,0,0.003354016
058863-15-3,0.034889634,-0.001384425,0,0.000780505,0,0.003764789,0.000370828,0.005050327,0,0.000377892,0,0.003531697
058863-15-3,0.033699471,-0.001337199,0,0.00075388,0,0.003636364,0.000358178,0.004878049,0,0.000365001,0,0.003411223
058863-15-3,0.032587828,-0.001293089,0,0.000729012,0,0.003516411,0.000346363,0.004717137,0,0.000352961,0,0.003298697
058863-15-3,0.031547182,-0.001251796,0,0.000705732,0,0.003404119,0.000335303,0.004566502,0,0.000341689,0,0.003193358
058863-15-3,0.030570942,-0.001213059,0,0.000683893,0,0.003298778,0.000324927,0.00442519,0,0.000331116,0,0.003094538
058877-88-6,0.030786517,-0.001489183,0,0.000610431,0,0.002803958,0.00076807,0.004829784,0,0.000355526,0,0.003354016
058877-88-6,0.031311615,-0.001514583,0,0.000620843,0,0.002851782,0.00078117,0.004912161,0,0.00036159,0,0.003411223
058877-88-6,0.03027874,-0.001464621,0,0.000600363,0,0.002757711,0.000755402,0.004750124,0,0.000349662,0,0.003298697
058877-88-6,0.029311831,-0.001417851,0,0.000581191,0,0.002669647,0.000731279,0.004598435,0,0.000338496,0,0.003193358
058877-88-6,0.028404766,-0.001373975,0,0.000563206,0,0.002587034,0.000708649,0.004456135,0,0.000328021,0,0.003094538
067922-27-4,0.030729499,-0.001308066,0,0.000429314,0,0.001147074,0.000758008,0.004796244,0,0.000187825,0,0.003354016
067922-27-4,0.031253624,-0.001330377,0,0.000436637,0,0.001166638,0.000770936,0.004878049,0,0.000191028,0,0.003411223
067922-27-4,0.030222662,-0.001286492,0,0.000422233,0,0.001128154,0.000745506,0.004717137,0,0.000184727,0,0.003298697
067922-27-4,0.029257544,-0.00124541,0,0.00040875,0,0.001092128,0.000721699,0.004566502,0,0.000178828,0,0.003193358
067922-27-4,0.028352158,-0.00120687,0,0.000396101,0,0.001058332,0.000699366,0.00442519,0,0.000173294,0,0.003094538
103426-93-3,0.030786517,-0.001284588,0,0.000536643,0,0.00245514,0.000607077,0.004796244,0,0.000385712,0,0.003354016
103426-93-3,0.031311615,-0.001306498,0,0.000545796,0,0.002497015,0.000617431,0.004878049,0,0.000392291,0,0.003411223
103426-93-3,0.03027874,-0.001263401,0,0.000527792,0,0.002414646,0.000597064,0.004717137,0,0.00037935,0,0.003298697
103426-93-3,0.029311831,-0.001223056,0,0.000510937,0,0.002337538,0.000577998,0.004566502,0,0.000367236,0,0.003193358
103426-93-3,0.028404766,-0.001185208,0,0.000495126,0,0.002265202,0.000560111,0.00442519,0,0.000355872,0,0.003094538
067922-25-2,0.028442059,-0.001475767,0,0.000643971,0,0.002559115,0.000908938,0.004796244,0,0.000103975,0,0.003354016
035822-46-9,0.039728325,-0.001831293,0,0.000254905,0.191178937,0.001157136,0.007466041,0.004729163,0,0.001438873,0.00895187,0.003354016
035822-46-9,0.040405936,-0.001862528,0,0.000259253,0.194439707,0.001176872,0.007593382,0.004809824,0,0.001463415,0.009104554,0.003411223
035822-46-9,0.037825323,-0.001743573,0,0.000242695,0.182021395,0.001101708,0.007108414,0.004502635,0,0.001369951,0.008523072,0.003193358
035822-46-9,0.036654804,-0.001689618,0,0.000235185,0.176388674,0.001067616,0.006888442,0.004363299,0,0.001327557,0.008259322,0.003094538
103426-96-6,0.030729499,-0.001083347,0,0.000627201,0,0.002669797,0.000815026,0.004762703,0,2.68E-05,0,0.003354016
103426-96-6,0.032357408,-0.001140738,0,0.000660427,0,0.002811231,0.000858202,0.00501501,0,2.83E-05,0,0.003531697
103426-96-6,0.031253624,-0.001101825,0,0.000637899,0,0.002715333,0.000828927,0.004843937,0,2.73E-05,0,0.003411223
103426-96-6,0.030222662,-0.001065479,0,0.000616856,0,0.002625763,0.000801583,0.00468415,0,2.64E-05,0,0.003298697
