CAS No.,nN,ATSC8v,SpMaxA_G/D,Mor16u,nROH,O-058,P-117,MLOGP2,Molecular Polarizability
000050-29-3,0.000 ,2.487 ,1.032 ,0.672 ,0.000 ,0.000 ,0.000 ,38.020 ,309.680 
000050-32-8,0.000 ,3.696 ,1.064 ,0.276 ,0.000 ,0.000 ,0.000 ,30.809 ,404.140 
000050-65-7,2.000 ,3.601 ,1.027 ,0.414 ,0.000 ,1.000 ,0.000 ,12.771 ,310.980 
000052-68-6,0.000 ,0.000 ,1.042 ,0.041 ,1.000 ,1.000 ,0.000 ,0.239 ,157.770 
000053-70-3,0.000 ,6.106 ,1.053 ,0.502 ,0.000 ,0.000 ,0.000 ,35.045 ,433.920 
000053-96-3,1.000 ,3.349 ,1.046 ,0.883 ,0.000 ,1.000 ,0.000 ,11.316 ,275.370 
000055-21-0,1.000 ,0.000 ,1.000 ,0.252 ,0.000 ,1.000 ,0.000 ,1.674 ,123.040 
000055-38-9,0.000 ,4.547 ,1.001 ,-0.098 ,0.000 ,0.000 ,0.000 ,6.670 ,257.100 
000056-04-2,2.000 ,0.000 ,1.016 ,-0.036 ,0.000 ,1.000 ,0.000 ,0.010 ,140.890 
000056-38-2,1.000 ,7.227 ,0.986 ,0.226 ,0.000 ,0.000 ,0.000 ,5.351 ,257.540 
000056-49-5,0.000 ,6.886 ,1.054 ,0.410 ,0.000 ,0.000 ,0.000 ,34.194 ,398.490 
000056-53-1,0.000 ,7.412 ,0.937 ,0.617 ,0.000 ,0.000 ,0.000 ,15.651 ,307.030 
000057-13-6,2.000 ,0.000 ,0.892 ,0.178 ,0.000 ,1.000 ,0.000 ,3.473 ,40.060 
000057-55-6,0.000 ,0.000 ,0.926 ,-0.106 ,2.000 ,0.000 ,0.000 ,0.285 ,57.720 
000057-63-6,0.000 ,7.035 ,0.998 ,0.651 ,1.000 ,0.000 ,0.000 ,16.033 ,312.180 
000057-97-6,0.000 ,5.788 ,1.025 ,0.505 ,0.000 ,0.000 ,0.000 ,31.636 ,387.290 
000058-89-9,0.000 ,0.000 ,1.099 ,-0.703 ,0.000 ,0.000 ,0.000 ,16.744 ,190.820 
000058-90-2,0.000 ,0.000 ,1.120 ,0.003 ,0.000 ,0.000 ,0.000 ,13.085 ,168.200 
000060-11-7,3.000 ,4.170 ,0.913 ,0.107 ,0.000 ,0.000 ,0.000 ,10.330 ,308.410 
000060-12-8,0.000 ,0.111 ,0.989 ,0.450 ,1.000 ,0.000 ,0.000 ,3.704 ,128.570 
000060-35-5,1.000 ,0.000 ,0.913 ,0.118 ,0.000 ,1.000 ,0.000 ,0.628 ,44.700 
000060-57-1,0.000 ,0.000 ,1.082 ,-0.116 ,0.000 ,0.000 ,0.000 ,19.817 ,277.270 
000061-82-5,4.000 ,0.000 ,0.975 ,0.536 ,0.000 ,0.000 ,0.000 ,0.054 ,66.130 
000062-53-3,1.000 ,0.000 ,0.997 ,0.342 ,0.000 ,0.000 ,0.000 ,2.268 ,107.220 
000062-56-6,2.000 ,0.000 ,0.935 ,0.178 ,0.000 ,0.000 ,0.000 ,2.056 ,67.790 
000062-73-7,0.000 ,0.000 ,1.020 ,0.127 ,0.000 ,1.000 ,1.000 ,1.553 ,136.500 
000063-25-2,1.000 ,3.330 ,0.995 ,0.171 ,0.000 ,1.000 ,0.000 ,4.939 ,216.920 
000064-10-8,2.000 ,0.269 ,0.995 ,0.435 ,0.000 ,1.000 ,0.000 ,0.747 ,138.480 
000064-17-5,0.000 ,0.000 ,0.904 ,0.062 ,1.000 ,0.000 ,0.000 ,0.030 ,36.570 
000064-19-7,0.000 ,0.000 ,0.915 ,0.126 ,1.000 ,1.000 ,0.000 ,0.149 ,38.550 
000066-75-1,3.000 ,0.573 ,0.964 ,-0.300 ,1.000 ,1.000 ,0.000 ,0.082 ,215.090 
000067-56-1,0.000 ,0.000 ,0.838 ,-0.039 ,1.000 ,0.000 ,0.000 ,0.663 ,21.360 
000067-66-3,0.000 ,0.000 ,1.165 ,0.036 ,0.000 ,0.000 ,0.000 ,3.301 ,61.020 
000071-23-8,0.000 ,0.000 ,0.929 ,0.147 ,1.000 ,0.000 ,0.000 ,0.120 ,51.640 
000071-36-3,0.000 ,0.000 ,0.948 ,0.263 ,1.000 ,0.000 ,0.000 ,0.640 ,66.970 
000071-41-0,0.000 ,0.000 ,0.962 ,0.383 ,1.000 ,0.000 ,0.000 ,1.463 ,82.400 
000071-55-6,0.000 ,0.000 ,1.086 ,0.048 ,0.000 ,0.000 ,0.000 ,4.957 ,79.900 
000072-20-8,0.000 ,0.000 ,1.082 ,-0.111 ,0.000 ,0.000 ,0.000 ,19.817 ,277.270 
000072-43-5,0.000 ,5.254 ,0.983 ,-0.038 ,0.000 ,0.000 ,0.000 ,18.218 ,323.690 
