CAS-Number,X%,EHOMO,Mor29u,NdsCH,GATS1e,X3A,1/T,SdsCH,nR=Cp,F02[F-Br],RDF015m,BIC1,SpMin8_Bh(p),NssssC
000002-52-3,23.8,-0.2765,-0.176,0,0.565,0.196,0.003356 ,0,0,0,5.173,0.513,0.084,0
000057-14-7,0,-0.22958,-0.144,0,1.089,0,0.003356 ,0,0,0,2.755,0.566,0,0
000062-53-3,0,-0.21247,-0.05,0,1.423,0.237,0.003356 ,0,0,0,2.467,0.491,0,0
000064-17-5,0,-0.28053,-0.178,0,1.07,0,0.001912 ,0,0,0,1.802,0.627,0,0
000064-17-5,0,-0.28053,-0.178,0,1.07,0,0.001239 ,0,0,0,1.802,0.627,0,0
000066-25-1,0,-0.2631,-0.664,1,0.526,0.302,0.003356 ,0.982,0,0,4.55,0.47,0,0
000067-63-0,0,-0.27914,-0.312,0,1.053,0,0.003367 ,0,0,0,2.762,0.515,0,0
000067-64-1,0,-0.25918,-0.318,0,0.5,0,0.001147 ,0,0,0,1.943,0.473,0,0
000067-64-1,0,-0.25918,-0.318,0,0.5,0,0.000900 ,0,0,0,1.943,0.473,0,0
000067-64-1,0,-0.25918,-0.318,0,0.5,0,0.000765 ,0,0,0,1.943,0.473,0,0
000071-23-8,0,-0.28026,-0.28,0,1.053,0.5,0.003953 ,0,0,0,2.685,0.563,0,0
000071-23-8,0,-0.28026,-0.28,0,1.053,0.5,0.002809 ,0,0,0,2.685,0.563,0,0
000071-43-2,0,-0.26009,0.024,0,0.917,0.25,0.003356 ,0,0,0,1.965,0.256,0,0
000071-43-2,0,-0.26009,0.024,0,0.917,0.25,0.002464 ,0,0,0,1.965,0.256,0,0
000074-84-0,0,-0.34598,-0.307,0,2,0,0.004329 ,0,0,0,0.908,0.289,0,0
000074-84-0,0,-0.34598,-0.307,0,2,0,0.003344 ,0,0,0,0.908,0.289,0,0
000074-84-0,0,-0.34598,-0.307,0,2,0,0.002817 ,0,0,0,0.908,0.289,0,0
