CAS,H2s,Mor07m,R8v+
000307-24-4,63.682,3.37,0.007
000375-85-9,64.006,3.196,0.01
000375-95-1,69.589,4.252,0.013
000335-76-2,68.258,4.985,0.011
002058-94-8,70.728,5.695,0.01
000376-06-7,65.549,8.219,0.007
070887-88-6,62.822,4.437,0.013
000375-73-5,63.584,2.068,0
000355-46-4,72.046,2.44,0.015
002795-39-3,72.488,4.588,0.013
000647-29-0,69.977,3.261,0.013
000754-91-6,66.453,4.248,0.012
000124-07-2,4.687,0.759,0.008
000334-48-5,4.701,0.736,0.006
000544-63-8,4.126,0.845,0.002
000057-11-4,3.848,0.948,0.002
000375-22-4,12.118,1.939,0
000647-42-7,21.252,4.44,0.008
000678-39-7,21.624,5.909,0.007
001691-99-2,27.189,5.526,0.007
213181-78-3,26.965,4.997,0.007
031506-32-8,24.448,5.304,0.008
138257-18-8,6.545,-4.198,0.01
169102-57-2,6.143,2.856,0.011
